,Unnamed: 0,link,Год постройки,Жилая,Кухня,Общая,Отопление,Парковка,Построен,Район,Срок сдачи,Тип дома,Тип жилья,Тип перекрытий,Цена,Этаж,Мусоропровод_dummy,Лифт_dummy,Авариное,metro_time,Транспорт,Этаж1,Этажей,Доля,Комната,Собственник,Район_<р-н Автозаводский>,Район_<р-н Железнодорожный>,Район_<р-н Кировский>,Район_<р-н Красноглинский>,Район_<р-н Куйбышевский>,Район_<р-н Ленинский>,Район_<р-н Октябрьский>,Район_<р-н Промышленный>,Район_<р-н Самарский>,Район_<р-н Советский>,Тип жилья_<Вторичка>,Тип жилья_<Вторичка Апартаменты>,Тип жилья_<Вторичка Пентхаус>,Тип жилья_<Новостройка>,Тип перекрытий_<Деревянные>,Тип перекрытий_<Железобетонные>,Тип перекрытий_<Смешанные>,Газоснабжение_<Автономное>,Газоснабжение_<Центральное>,Отопление_<Автономная котельная>,Отопление_<Индивидуальный тепловой пункт>,Отопление_<Котел/Квартирное отопление>,Отопление_<Печь>,Отопление_<Центральное>,Транспорт_<В пешей доступности>,Транспорт_<Далеко>,Транспорт_<На транспорте близко>,Комната_<1>,Комната_<2>,Комната_<3>,Комната_<4>,Комната_<5>,Комната_<К>,Комната_<М>,Комната_<С>,Парковка_<Наземная>,Парковка_<Нет инфо>,Парковка_<Подземная>
0,0,https://samara.cian.ru/sale/flat/241702940/,,16.0,13.0,41.0,Нет инфо,Нет инфо,,р-н Куйбышевский,2 кв. 2022,Нет инфо,Новостройка,Нет инфо,1804440.0,2 из 24,0,0,0,11,На транспорте близко,2.0,24.0,0.08333333333333333,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,https://samara.cian.ru/sale/flat/243750742/,1991.0,15.0,7.0,30.0,Центральное,Нет инфо,1991.0,р-н Промышленный,,Панельный,Вторичка,Железобетонные,2800000.0,9 из 9,1,1,0,,Далеко,9.0,9.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2,https://samara.cian.ru/sale/flat/246570989/,1978.0,20.0,6.0,34.0,Центральное,Нет инфо,1978.0,р-н Советский,,Кирпичный,Вторичка,Железобетонные,2450000.0,8 из 9,1,1,0,3,На транспорте близко,8.0,9.0,0.8888888888888888,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,https://samara.cian.ru/sale/flat/242274343/,1976.0,17.0,5.0,32.0,Центральное,Нет инфо,1976.0,р-н Кировский,,Кирпичный,Вторичка,Железобетонные,1750000.0,5 из 5,1,0,0,5,На транспорте близко,5.0,5.0,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,4,https://samara.cian.ru/sale/flat/245470689/,2013.0,14.0,8.0,29.0,Котел/Квартирное отопление,Нет инфо,2013.0,р-н Красноглинский,,Кирпичный,Вторичка,Железобетонные,1420000.0,2 из 3,0,0,0,,Далеко,2.0,3.0,0.6666666666666666,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,5,https://samara.cian.ru/sale/flat/245837939/,2014.0,15.0,8.0,30.0,Котел/Квартирное отопление,Нет инфо,2014.0,р-н Красноглинский,,Кирпичный,Вторичка,Железобетонные,1560000.0,3 из 3,0,0,0,,Далеко,3.0,3.0,1.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,6,https://samara.cian.ru/sale/flat/237597199/,,22.0,12.0,49.0,Нет инфо,Нет инфо,,р-н Ленинский,4 кв. 2020,Нет инфо,Новостройка,Нет инфо,6461000.0,23 из 25,0,0,0,13,В пешей доступности,23.0,25.0,0.92,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,7,https://samara.cian.ru/sale/flat/242745694/,,30.0,14.0,54.0,Нет инфо,Нет инфо,,р-н Железнодорожный,,Кирпичный,Вторичка,Нет инфо,3487000.0,9 из 20,0,1,0,,Далеко,9.0,20.0,0.45,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,8,https://samara.cian.ru/sale/flat/244421167/,,17.0,9.0,41.0,Нет инфо,Нет инфо,,р-н Железнодорожный,,Кирпичный,Вторичка,Нет инфо,3400000.0,3 из 16,0,1,0,,Далеко,3.0,16.0,0.1875,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,9,https://samara.cian.ru/sale/flat/244568380/,,19.0,9.0,36.0,Нет инфо,Нет инфо,,р-н Октябрьский,,Монолитно кирпичный,Вторичка,Нет инфо,3400000.0,21 из 25,0,1,0,,Далеко,21.0,25.0,0.84,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,10,https://samara.cian.ru/sale/flat/244878888/,2015.0,15.0,8.0,28.0,Котел/Квартирное отопление,Нет инфо,,р-н Красноглинский,,Кирпичный,Вторичка,Железобетонные,1320000.0,3 из 3,0,0,0,,Далеко,3.0,3.0,1.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,11,https://samara.cian.ru/sale/flat/240651689/,1961.0,,5.0,33.0,Центральное,Нет инфо,1961.0,р-н Кировский,,Кирпичный,Вторичка,Железобетонные,1720000.0,2 из 5,1,0,0,4,На транспорте близко,2.0,5.0,0.4,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,12,https://samara.cian.ru/sale/flat/245244897/,,15.0,,21.0,Нет инфо,Нет инфо,,р-н Промышленный,4 кв. 2020,Нет инфо,Новостройка,Нет инфо,1029000.0,2 из 5,0,0,0,6,В пешей доступности,2.0,5.0,0.4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
