,Аварийность,Газоснабжение,Год постройки,До Метро,Жилая,Комнаты,Кухня,Лифты,Мусоропровод,Общая,Описание,Отопление,Парковка,Подъезды,Построен,Район,Срок сдачи,Тип дома,Тип жилья,Тип перекрытий,Тип продавца,Цена,Этаж,Хрефы
2897,Нет,Центральное,1991,NA,15 м²,"1-комн. квартира, 30 м²",7 м²,Есть,Есть,30 м²,"Продается 1 комнатная квартира общей площадь с учетом лоджии 30 кв.м. на 9 этаже/9 эт дома . Кухня 7 кв.м,комната 15 кв.м.,санузел раздельный.Новый качественный дорогой   ремонт,никто не жил.Теплые полы. Остается вся мебель ,бытовая техника.Прекрасный вид на Волгу
 очень хороший район, лесопарковая зона, рядом сквер для прогулок
 хорошо освещенный район
 квартира очень светлая и теплая
 в квартире выполнен евроремонт
 хорошая входная дверь
 остаётся мебель и техника
 заменены стеклопакеты
 раздельный с/у
 застекленная лоджия
 имеется общий ""карман"" на 2 квартиры.На этаже кладовая.
 развитая инфраструктура: парк, детские сады, школы
 в шаговой доступности находятся рынки, магазины, торговые центры
 остановка общественного транспорта в 2 минутах от дома, удобная транспортная развязка",Центральное,,2,1991,мкр. Солнечный,,Панельный,Вторичка,Железобетонные,Агентство недвижимости,2800000₽,9 из 9,https://samara.cian.ru/sale/flat/241069390/
2898,Нет,Центральное,1976,⋅  5 мин. на транспорте,"17,3 м²","1-комн. квартира, 32 м²","5,4 м²",,Есть,32 м²,"Продается однокомнатная квартира на 5/5 этажного кирпичного дома. Общая площадь с учетом лоджии 32 кв.м., комната 17,3 кв.м., кухня 5,4 кв.м.

Не угловая, хорошая транспортная развязка, тихий двор. Ипотека подходит, 1 собственник. Звоните, покажем в удобное для вас время.",Центральное,,3,1976,"мкр. 16,18",,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1750000₽,5 из 5,https://samara.cian.ru/sale/flat/231634822/
2899,,,,⋅  13 мин. пешком,17 м²,"1-комн. квартира, 41,3 м²",11 м²,,,"41,3 м²","Продается 1-комнатная квартира, в строящемся доме (секция 4/2), срок сдачи: IV-кв. 2020, общей площадью 41.30 кв.м., на 23 этаже. Жилой комплекс ""Пять звезд"" расположен в границах улиц Самарская/ Чкалова/ Садовая/ Полевая. Площадь застраиваемой территории составляет 2,45 Га. На сегодняшний день введены в эксплуатацию девять жилых секций переменной этажности от 11 до 18 этажей со встроенными офисными помещениями а также многоэтажный дом по улице Самарской. В настоящее время заканчивается строительство секции 4/1 и начато строительство секции 4/2 по улице Самарская. 

В жилом комплексе ""Пять звёзд"" созданы все условия для проживания, детские площадки, благоустроенная дворовая территория, паркинг. Жилой комплекс расположен в 10 минутах ходьбы от Самарской набережной, что является несомненным преимуществом. Предоставлены возможности для успешного ведения бизнеса, на первых этажах комплекса предусмотрены коммерческие помещения. Строительство ведется по современным технологиям с использованием высококачественных материалов. Высокое качество строительства, современные планировки и удачное месторасположение оценят самые требовательные покупатели.

- устройство перегородок согласно проекту;
- устройство стяжки полов из керамзито-бетона;
- монтаж стояков канализации, холодной и горячей воды;
- установка оконных блоков без подоконников согласно проекту;
- остекление лоджий; 
- установка временной входной двери; 
- монтаж системы отопления (стояки, установка радиаторов отопления);
- электроснабжение до вводного щитка помещения с установкой счетчика.",,,,,Самарская ул.,4 кв. 2020,,Новостройка,,Застройщик,5369000₽,23 из 25,https://samara.cian.ru/sale/flat/243586563/
2900,Нет,Центральное,2013,NA,"14,4 м²","1-комн. квартира, 29,1 м²","8,1 м²",,,"29,1 м²","Продается однокомнатная квартира в микрорайоне Крутые ключи, расположенная 2/3 этажного кирпичного дома. Общая площадь квартиры 29,1  кв.м., жилая 14,4 кв.м, кухня 8,1 кв.м. Квартира не угловая,  спокойные соседи. Район с развитой инфраструктурой, в шаговой доступности школа, дет. сад, поликлиника, супермаркеты, ТЦ Мега, рядом остановка общественного транспорта.  Один взрослый собственник, ипотека подходит (помощь в одобрении).",Котел/Квартирное отопление,,4,2013,мкр. Крутые ключи,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1420000₽,2 из 3,https://samara.cian.ru/sale/flat/243201734/
2901,,,,⋅  11 мин. на транспорте,15 м²,"1-комн. квартира, 40,58 м²",12 м²,,,"40,58 м²","Продается 1-комнатная квартира, в строящемся доме, срок сдачи: I-кв. 2021, общей площадью 40.58 кв.м., на 17 этаже.",,,,,Южное ш.,1 кв. 2021,,Новостройка,,Застройщик,2384724₽,17 из 24,https://samara.cian.ru/sale/flat/243150657/
2902,,,,⋅  2 мин. на транспорте,,"1-комн. квартира, 46,35 м²",,,,"46,35 м²","Жилой комплекс Космолет возводится на пересечении улиц  Советской армии / Антонова-Овсеенко
В продаже 1 комнатная квартира:
27/32 этажного дома
Общая площадь квартиры 46,84м, 
жилая площадь - 16,82
кухня - 12  м, 
холл- 8,1 кв.м, 
2 а с/у - 4,2 кв.м, 3,04 кв.м.
лоджия - 3,71 кв.м. 
Окна квартиры выходят на Советскую армию.
Вид отделки  черновая.
Развитая инфраструктура района. Здесь в шаговой доступности находится ТК КОСМОПОРТ, школа 176, 5 детских садов и ясли, ВУЗы, ФОК Чайка, бассейн Буревестник, парки Дружбы, им. Ю.Гагарина, Молодежный и Ботанический Сад.
продажа студии в ЖК Космолет от юридического лица
(принимаем мат. кап. Ипотека от 6,5% ТрансКапиталлБанк,Банк ДомРФ от 6,1%)",,,,,ул. Антонова-Овсеенко,4 кв. 2022,,Новостройка,,Агентство недвижимости,2290000₽,27 из 32,https://samara.cian.ru/sale/flat/242347950/
2903,Нет,Центральное,1961,⋅  4 мин. на транспорте,,"1-комн. квартира, 33 м²",5 м²,,Есть,33 м²,"Уютная однокомнатная квартира в мкрн. Металлург. Дом кирпичный. В квартире поменяны окна на ПВХ, радиаторы и стояки, трубы водоснабжения. Возможно увеличить жилую площадь за счёт коридора. Окна во двор. Чистый подъезд, приличные соседи. Микрорайон с прекрасно развитой инфраструктурой, любые магазины, остановка транспорта за домом в двух минутах ходьбы, школы, детские сады, поликлиника. Парк Металлургов для прогулок. Просторный двор для парковки, детские площадки. Один взрослый собственник, более пяти лет в собственности,никто не зарегистрирован,возможна ипотека от 7,3% годовых,помогу оформить, можно без первоначального взноса . Прямая продажа без дальнейшего подбора.",Центральное,,6,1961,мкр. Металлург,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1720000₽,2 из 5,https://samara.cian.ru/sale/flat/235823787/
2904,,,,NA,14 м²,"1-комн. квартира, 34 м²",10 м²,Есть,,34 м²,"Уютная однушка в новом современном комплексе ЖК Логика. Ремонт выполнен из качественных материалов, в коридоре место под гардеробную со шкафом-купе, на кухне гарнитур с техникой, застекленная лоджия, кондиционер в комнате. Современный дом,в комплексе 3 паркинга можно в аренду, консьерж, видеонаблюдение, прозрачные входные группы, выделены специальные места для кондиционеров, отличный район в деловом центре города, рядом аврора, космопорт, московское шоссе, весь транспорт, сады, школы, фитнес, в доме Пятерочка.",,,,,Съездовская ул.,,Монолитно кирпичный,Вторичка,,,3350000₽,10 из 25,https://samara.cian.ru/sale/flat/227946600/
2905,,,,NA,"18,2 м²","1-комн. квартира, 32,8 м²","5,6 м²",,,"32,8 м²","Продаётся тёплая, солнечная, очень светлая, 1 комнатная квартира, Квартира не угловая, окна пластиковые заменены трубы пластиковые. Чистый, ухоженный подъезд, хорошие соседи. Тихий двор с большой детской площадкой. В шаговой доступности школа, детский сад почтовое отделение, филиал Сбербанка России, остановка общественного транспорта, поликлиника, магазины Магнит, Пятёрочка Рядом смешанный лес. Её нужно смотреть !!! Торг уместен!!! Звонить в любое время",,,,,мкр. Береза,,Кирпичный,Вторичка,,Собственник,960000₽,1 из 4,https://samara.cian.ru/sale/flat/245425134/
2906,Нет,Центральное,2014,NA,15 м²,"1-комн. квартира, 29,1 м²",9 м²,,,"29,1 м²","В продаже уютная квартира для семейного и личного счастья! Отличное сочетание свежего воздуха и наличия развитой инфраструктуры делают проживание в этом районе комфортным и удобным. Квартира с отличным ремонтом! По всей площади теплый пол, отопление практически не требуется включать. Индивидуальное газовое отопление!Установлены счетчики на все. При продаже остается кухонный гарнитур, варочная поверхность, вытяжка, холодильник если нужно, в комнате шкаф и кресло, и, естественно, вся сантехника. Квартира вложений не требует! Подходит любая форма оплаты! Ждем на просмотр, с удовольствием покажем и ответим на все вопросы!",Котел/Квартирное отопление,,4,,мкр. Крутые ключи,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1460000₽,3 из 3,https://samara.cian.ru/sale/flat/241324561/
2907,Нет,Центральное,2011,NA,17 м²,"1-комн. квартира, 33,6 м²","11,5 м²",,,"33,6 м²","В продаже отличная квартира в самом центре Крутых Ключей! Адрес: б-р Финютина, д.21. Общая площадь 33,6 м.кв., этаж 3. Большая кухня 11,5 м.кв., комната 17 м.кв. Квартира чистая, светлая, с качественным ремонтом от собственника. Остается кухонный гарнитур, в комнате кондиционер, гардеробная. Чистый подъезд, соседи все семейные, тихие. В шаговой доступности абсолютно вся инфраструктура! Один взрослый собственник! Быстрый выход на сделку, любая форма оплаты! Помощь в одобрении ипотеки!",Котел/Квартирное отопление,,4,,мкр. Крутые ключи,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1530000₽,3 из 3,https://samara.cian.ru/sale/flat/226645985/
2908,Нет,Центральное,1971,NA,"19,1 м²","1-комн. квартира, 34 м²","6,5 м²",Есть,,34 м²,"Продаем однокомнатную квартиру в отличном районе цент города,вся инфраструктура,до набережной 7минут пешком дом кирпичный,окна во двор,состояние жилое. Установлены счётчики на водоснабжение, газпластиковые окна на кухне и в комнате.",Центральное,,7,,Ново-Садовая ул.,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,2700000₽,2 из 9,https://samara.cian.ru/sale/flat/243913480/
2909,,,,NA,17 м²,"1-комн. квартира, 47 м²",12 м²,,,47 м²,"!!!!ПРОДАЖА ОТ ЮР. ЛИЦА
!!ИПОТЕКА ОТ 6.1%
В Наличии
1 К КВ., 2 К.КВ.,3 К.КВ

СРОК СДАЧИ 2022 г. 4 кв.

расположен на пересечении улиц: Антонова-Овсеенко / Советской Армии

1 комнатная квартира в 2 секции (Окнами во двор)

8/32 этажного дома

Общая площадь квартиры 46,98м,

жилая площадь - 16,82

кухня - 12,59 м,

прихожая - 5,66 кв.м,

2 а с/у - 3,27 кв.м, 4,93 кв.м.

лоджия - 3,71 кв.м.

Окна квартиры выходят во двор Вид отделки  черновая.

Развитая инфраструктура района. Здесь в шаговой доступности находится ТК КОСМОПОРТ, школа 176, 5 детских садов и ясли, ВУЗы, ФОК Чайка, бассейн Буревестник, парки Дружбы, им. Ю.Гагарина, Молодежный и Ботанический Сад.

Оформление: договор уступки от юр.лица, оплата после регистрации.

ИПОТЕКА ТрансКапиталБанк, ВТБ, Уралсиб Банк, Дом РФ Банк 6,5%",,,,,ул. Антонова-Овсеенко,4 кв. 2022,,Новостройка,,Агентство недвижимости,2230000₽,5 из 32,https://samara.cian.ru/sale/flat/243816708/
2910,,,,⋅  3 мин. на транспорте,15 м²,"1-комн. квартира, 49 м²",11 м²,,,49 м²,"Отличный вариант для инвестиций! ЖК ""Ставропольская"". Односекционный монолитный дом. Сдаётся в 1 кв. 2021 г. 

Просторная однокомнатная квартира 49 м. кв. с большой лоджией 9 м.кв. на кухню и комнату.

Есть место под гардеробную, просторный санузел. Подойдёт под ипотеку с гос.поддержкой 6,1% помогу оформить. Дом находится во дворе.Остановка транспорта в трех минутах ходьбы. Школы,детские сады,стадион ""Орбита"" (бассейн и фитнес). Недалеко станция метро. До Планового или Педагогического университета две остановки на трамвае! 
строительство ведётся активно.",,,,,Ставропольская ул.,1 кв. 2021,,Новостройка,,Агентство недвижимости,2606000₽,5 из 18,https://samara.cian.ru/sale/flat/243792985/
2911,Нет,,,NA,"18,5 м²","1-комн. квартира, 40 м²","11,5 м²",Есть,,40 м²,"Продается однокомнатная квартира в кирпичном доме. Исторический центр,тихое место, рядом набережная, отличная транспортная развязка, развитая инфраструктура. Квартира в хорошем состоянии, высота потолков 3 метра, большой застекленный балкон. Все окна выходят на улицу, установлены счетчики на воду, электроплита, сплит-система. В доме ТСЖ, чистый подъезд с консьержем, видеонаблюдением и домофоном. В квартире остается встроенная кухня, электроплита, шкафы.Чистая продажа, один собственник. Помощь в оформлении и одобрении ипотеки: -Ипотека без первоначального взноса -Ипотека с низкими % ставками и с партнерскими скидками сотрудничество с известными банками -Ипотека с низкими доходами или отсутствием официальных -Подбор и сопровождение в подарок -Подаем заявки в банк не выходя из нашего офиса",,,,,мкр. Центр,,,Вторичка,,Агентство недвижимости,4500000₽,4 из 9,https://samara.cian.ru/sale/flat/243786955/
2912,Нет,Центральное,2014,NA,"16,7 м²","1-комн. квартира, 42,7 м²","11,4 м²",Есть,,"42,7 м²","Продам 1 комнатную квартиру с отличным ремонтом на пересечении ул. Полевая и ул. Арцыбушевская. Общая площадь 42,7 кВ.м, квартира переделана в 2-х комнатную можно использовать как гардеробную, так и жилую комнату Остаётся вся мебель, техника. Дом расположен в центре города Полевой спуск, рядом магазины, Макдональдс, аптеки, больницы, остановки. Продажа в связи с покупкой новой квартиры.",Центральное,,2,,Арцыбушевская ул.,,Монолитный,Вторичка,Железобетонные,Агентство недвижимости,4600000₽,10 из 25,https://samara.cian.ru/sale/flat/243724486/
2913,,,,NA,"17,4 м²","1-комн. квартира, 30,6 м²",6 м²,,,"30,6 м²","Продаю однокомнатную квартиру в Красноглинском районе г. Самары, поселок Мехзавод, квартал 14. Общая площадь 30,6 кв.м., жилая площадь 17,4 кв.м., кухня 6 кв.м., есть балкон, санузел совмещенный. Квартира угловая, расположена на 2 этаже 5-ти этажного панельного дома. В квартире требуется ремонт. В шаговой доступности от дома располагаются остановки общественного транспорта, магазины, аптеки, детские сады и школы. Рассмотрим различные варианты оплаты.",,,,,мкр. Мехзавод,,Панельный,Вторичка,,,1285000₽,2 из 5,https://samara.cian.ru/sale/flat/236740656/
2914,Нет,Центральное,1994,NA,16 м²,"1-комн. квартира, 45 м²","21,5 м²",Есть,,45 м²,"Продается квартира в ЖК Центральный 17 секция, на 4 этаже, под ней тех.этаж, окна в сторону красных кирпичных домов. Уникальная, выгодная планировка: большая кухня гостиная 21, 5 кв.м. и комната 16.4 кв.м. лоджий и балконов нет. Переуступка от физ.лица.",Центральное,,2,,Центральная ул.,,Панельный,Вторичка,Железобетонные,Агентство недвижимости,3600000₽,4 из 29,https://samara.cian.ru/sale/flat/240682441/
